,id,len_description,host_id,host_name,host_response_rate,host_acceptance_rate,host_verifications,neighbourhood_cleansed,latitude,longitude,room_type,bathrooms,bathrooms_text,amenities,price,number_of_reviews
0,50904,1000,234077,Karin,100%,96%,"['email', 'phone']",Historisch Centrum,51.218575,4.398631,Hotel room,,1 private bath,"[""Long term stays allowed"", ""Cable TV"", ""Hot water"", ""Hot water kettle"", ""Heating"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""50\"" TV with Chromecast, standard cable"", ""Shower gel"", ""Essentials"", ""Smoke alarm"", ""Microwave"", ""Bed linens"", ""Molton Brown shampoo"", ""Portable fans"", ""Hangers"", ""Mini fridge"", ""Paid parking off premises"", ""Wine glasses"", ""Carbon monoxide alarm"", ""Safe"", ""Molton Brown body soap"", ""AC - split type ductless system"", ""Clothing storage"", ""Dedicated workspace"", ""Fire extinguisher"", ""Coffee maker"", ""Security cameras on property"", ""Bluetooth sound system"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Wifi""]",$174.00,3
1,116134,1000,586942,Gina,100%,97%,"['email', 'phone', 'work_email']",Eilandje,51.23051,4.40593,Entire home/apt,,2.5 baths,"[""Toaster"", ""Oven"", ""Long term stays allowed"", ""Free washer \u2013 In unit"", ""Hot water"", ""Cable TV"", ""Hot water kettle"", ""Heating"", ""Dishwasher"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Elevator"", ""Paid street parking off premises"", ""Essentials"", ""Room-darkening shades"", ""Private entrance"", ""Changing table"", ""Smoke alarm"", ""Microwave"", ""Paid parking garage on premises \u2013 1 space"", ""Stove"", ""Bathtub"", ""Portable fans"", ""Hangers"", ""Shampoo"", ""Window guards"", ""Wine glasses"", ""Carbon monoxide alarm"", ""Freezer"", ""TV with standard cable"", ""Clothing storage: wardrobe, closet, and dresser"", ""Waterfront"", ""Outdoor furniture"", ""Cooking basics"", ""Dedicated workspace"", ""Fire extinguisher"", ""Refrigerator"", ""Coffee maker"", ""Cleaning products"", ""Dishes and silverware"", ""Private patio or balcony"", ""Drying rack for clothing"", ""Wifi"", ""First aid kit""]",$180.00,137
2,218916,1000,915664,Laura,100%,73%,"['email', 'phone']",Zurenborg,51.20633,4.42942,Entire home/apt,,1 bath,"[""Long term stays allowed"", ""Hot water"", ""Body soap"", ""Extra pillows and blankets"", ""High chair"", ""Outdoor dining area"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Shower gel"", ""Paid street parking off premises"", ""Conditioner"", ""Essentials"", ""Room-darkening shades"", ""Laundromat nearby"", ""Smoke alarm"", ""Bed linens"", ""Babysitter recommendations"", ""Bathtub"", ""Portable fans"", ""Dining table"", ""Clothing storage: walk-in closet"", ""Hangers"", ""Shampoo"", ""Wine glasses"", ""Carbon monoxide alarm"", ""Smeg  oven"", ""Samsung  refrigerator"", ""Freezer"", ""Outdoor furniture"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""Fire extinguisher"", ""Coffee maker"", ""Cleaning products"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Private patio or balcony"", ""Central heating"", ""Wifi"", ""First aid kit""]",$100.00,28
3,224333,1000,1167377,Geert,100%,40%,"['email', 'phone']",Deurne Zuid West,51.19772,4.45853,Private room,,2 shared baths,"[""Outdoor furniture"", ""Long term stays allowed"", ""Smoke alarm"", ""Fire extinguisher"", ""Washer"", ""Heating"", ""Lock on bedroom door"", ""Backyard"", ""Kitchen"", ""Patio or balcony"", ""Wifi"", ""First aid kit""]",$15.00,4
4,224682,1000,1263933,Kristien,100%,100%,['phone'],Sint-Andries,51.21722,4.3979,Entire home/apt,,1 bath,"[""Long term stays allowed"", ""Hot water"", ""Body soap"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Smoke alarm"", ""Bed linens"", ""Stove"", ""Hangers"", ""Shampoo"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Fire extinguisher"", ""Refrigerator"", ""Coffee maker"", ""Dishes and silverware"", ""Host greets you"", ""Wifi"", ""First aid kit""]",$111.00,425
5,345959,1000,1754396,Marleen,100%,85%,"['email', 'phone']",Markgrave,51.19935,4.40154,Entire home/apt,,1 bath,"[""Oven"", ""Long term stays allowed"", ""Cable TV"", ""Hot water"", ""Extra pillows and blankets"", ""Heating"", ""Backyard"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Smoke alarm"", ""Microwave"", ""Bed linens"", ""Stove"", ""Hangers"", ""Shampoo"", ""Paid parking off premises"", ""TV with standard cable"", ""Single level home"", ""Cooking basics"", ""Dedicated workspace"", ""Refrigerator"", ""Fire extinguisher"", ""Coffee maker"", ""Dishes and silverware"", ""Host greets you"", ""Luggage dropoff allowed"", ""Wifi""]",$65.00,77
6,363155,728,1835458,Roos,33%,47%,"['email', 'phone']",Amandus - Atheneum,51.22119,4.41951,Entire home/apt,,1.5 baths,"[""Long term stays allowed"", ""Cable TV"", ""Heating"", ""Backyard"", ""Iron"", ""Kitchen"", ""Dryer"", ""Hair dryer"", ""Essentials"", ""Smoke alarm"", ""Bed linens"", ""Washer"", ""Hangers"", ""Shampoo"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""Fire extinguisher"", ""Dishes and silverware"", ""Patio or balcony"", ""Luggage dropoff allowed"", ""Wifi""]",$67.00,26
7,366252,1000,1820186,Godelieve,100%,86%,"['email', 'phone']",Borgerhout Intra Muros Noord,51.21601,4.43432,Private room,,1.5 shared baths,"[""Paid parking off premises"", ""Cooking basics"", ""Dedicated workspace"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""TV"", ""Fire extinguisher"", ""Wifi"", ""Building staff"", ""Long term stays allowed"", ""Washer"", ""Heating"", ""Lock on bedroom door"", ""Iron"", ""Kitchen"", ""Dryer"", ""Hair dryer"", ""Hangers"", ""Elevator"", ""Shampoo""]",$39.00,122
8,522693,1000,2562294,Ahome,,100%,"['email', 'phone']",Historisch Centrum,51.22001,4.39813,Entire home/apt,,1 bath,"[""Crib"", ""Children\u2019s dinnerware"", ""Smoke alarm"", ""Fire extinguisher"", ""Cable TV"", ""Wifi"", ""High chair"", ""Washer"", ""TV with standard cable"", ""Heating"", ""Iron"", ""Kitchen"", ""Dryer"", ""Hair dryer"", ""Hangers"", ""Essentials"", ""Shampoo"", ""First aid kit""]",$282.00,2
9,603545,1000,2987880,Serge,100%,100%,"['email', 'phone']",Harmonie,51.20753,4.40589,Entire home/apt,,1 bath,"[""Oven"", ""Long term stays allowed"", ""TV"", ""Hot water"", ""Heating"", ""Dishwasher"", ""Iron"", ""Kitchen"", ""Dryer"", ""Hair dryer"", ""Elevator"", ""Essentials"", ""Microwave"", ""Washer"", ""Stove"", ""Hangers"", ""Free street parking"", ""Shampoo"", ""Paid parking off premises"", ""Cooking basics"", ""Fire extinguisher"", ""Refrigerator"", ""Coffee maker"", ""Dishes and silverware"", ""Host greets you"", ""Luggage dropoff allowed"", ""Private patio or balcony"", ""Wifi""]",$138.00,25
