,id,len_description,host_id,host_name,host_response_rate,host_acceptance_rate,host_verifications,neighbourhood_cleansed,latitude,longitude,room_type,bathrooms,bathrooms_text,amenities,price,number_of_reviews
0,70820,1000,360195,Sarah,100%,90%,"['email', 'phone', 'work_email']",Windmill Hill,51.43994,-2.59173,Private room,,1 shared bath,"[""Heating"", ""Hangers"", ""Hot water"", ""Wifi"", ""Essentials"", ""Lockbox"", ""Iron"", ""Hair dryer"", ""Smoke alarm"", ""Cooking basics"", ""Free street parking"", ""Free parking on premises""]",$42.00,178
1,117122,1000,591555,Marcus,100%,96%,"['email', 'phone']",Clifton,51.45051,-2.61054,Private room,,2.5 shared baths,"[""Extra pillows and blankets"", ""Body soap"", ""Dishes and silverware"", ""Freezer"", ""Carbon monoxide alarm"", ""Essentials"", ""Dishwasher"", ""Free dryer \u2013 In unit"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Cooking basics"", ""Room-darkening shades"", ""Microwave"", ""First aid kit"", ""Hot water kettle"", ""Hangers"", ""Bed linens"", ""Refrigerator"", ""Oven"", ""Luggage dropoff allowed"", ""Toaster"", ""Shampoo"", ""Coffee maker"", ""Waterfront"", ""Private patio or balcony"", ""Dedicated workspace"", ""Cable TV"", ""Heating"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Dining table"", ""Game console: PS3"", ""Mini fridge"", ""Kitchen"", ""65\"" HDTV with Amazon Prime Video, Netflix, Apple TV, standard cable, premium cable"", ""Portable fans"", ""Stove"", ""Cleaning products"", ""Iron"", ""Paid street parking off premises"", ""Hair dryer"", ""Elevator"", ""Breakfast"", ""Shower gel"", ""Wine glasses"", ""Host greets you""]",$96.00,166
2,176306,881,708175,Orla,90%,44%,"['email', 'phone']",Bedminster,51.44101,-2.60121,Private room,,1 shared bath,"[""Extra pillows and blankets"", ""Dishes and silverware"", ""Paid washer \u2013 In building"", ""Essentials"", ""Dishwasher"", ""Smoke alarm"", ""Cooking basics"", ""Free street parking"", ""Microwave"", ""Hangers"", ""Bed linens"", ""Refrigerator"", ""Oven"", ""Private fenced garden or backyard"", ""Shampoo"", ""Coffee maker"", ""BBQ grill"", ""Dedicated workspace"", ""Heating"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Kitchen"", ""Stove"", ""Iron"", ""Hair dryer"", ""Host greets you""]",$32.00,39
3,307634,1000,1582810,Wendy,100%,94%,"['email', 'phone']",Easton,51.46641,-2.55533,Private room,,1.5 shared baths,"[""Extra pillows and blankets"", ""Dishes and silverware"", ""Freezer"", ""Carbon monoxide alarm"", ""Essentials"", ""Smoke alarm"", ""Cooking basics"", ""Free street parking"", ""Laundromat nearby"", ""Room-darkening shades"", ""Bathtub"", ""Fire pit"", ""Outdoor furniture"", ""Outdoor dining area"", ""First aid kit"", ""Hot water kettle"", ""Hangers"", ""Bed linens"", ""Refrigerator"", ""Oven"", ""Washer"", ""Toaster"", ""Coffee maker"", ""Shared patio or balcony"", ""Dedicated workspace"", ""Central heating"", ""Wifi"", ""Hot water"", ""Ethernet connection"", ""Long term stays allowed"", ""Baking sheet"", ""Backyard"", ""Dining table"", ""Organic castile which is oil based liquid soap, upon request  body soap"", ""Lock on bedroom door"", ""Kitchen"", ""Fireplace guards"", ""Portable fans"", ""Stove"", ""Cleaning products"", ""Iron"", ""Hair dryer"", ""Drying rack for clothing"", ""Clothing storage: dresser"", ""Indoor fireplace"", ""Wine glasses"", ""Host greets you""]",$36.00,30
4,341227,1000,237360,Samantha,100%,96%,"['email', 'phone']",Ashley,51.46661,-2.58709,Entire home/apt,,3 baths,"[""Body soap"", ""Dishes and silverware"", ""Freezer"", ""Carbon monoxide alarm"", ""Essentials"", ""Dishwasher"", ""Smoke alarm"", ""Cooking basics"", ""Free street parking"", ""Laundromat nearby"", ""Microwave"", ""Bathtub"", ""Outdoor furniture"", ""Outdoor dining area"", ""Hot water kettle"", ""Hangers"", ""Bed linens"", ""Refrigerator"", ""Oven"", ""Private fenced garden or backyard"", ""Washer"", ""Luggage dropoff allowed"", ""Toaster"", ""Shampoo"", ""Coffee maker"", ""Cleaning before checkout"", ""Private patio or balcony"", ""Dedicated workspace"", ""Heating"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Fire extinguisher"", ""Private entrance"", ""Dining table"", ""Kitchen"", ""Fireplace guards"", ""Stove"", ""Conditioner"", ""Cleaning products"", ""Iron"", ""Children\u2019s books and toys"", ""Hair dryer"", ""Shower gel"", ""Indoor fireplace"", ""Wine glasses"", ""Host greets you""]",$571.00,108
5,390781,819,1954565,Fiona,100%,95%,"['email', 'phone', 'work_email']",Brislington West,51.44429,-2.55777,Private room,,1 shared bath,"[""Extra pillows and blankets"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Essentials"", ""Smoke alarm"", ""Cooking basics"", ""Free street parking"", ""Laundromat nearby"", ""Microwave"", ""First aid kit"", ""Hangers"", ""Bed linens"", ""Refrigerator"", ""Shampoo"", ""Heating"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Backyard"", ""Kitchen"", ""Iron"", ""Hair dryer"", ""Shower gel"", ""Host greets you""]",$35.00,50
6,392215,1000,1961385,Bea,,,"['email', 'phone']",Brislington East,51.44177,-2.53744,Private room,,1 shared bath,"[""Carbon monoxide alarm"", ""Essentials"", ""Smoke alarm"", ""Cooking basics"", ""Free street parking"", ""Patio or balcony"", ""Microwave"", ""First aid kit"", ""Hangers"", ""Oven"", ""Refrigerator"", ""Washer"", ""Lockbox"", ""Heating"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Fire extinguisher"", ""Backyard"", ""Kitchen"", ""Stove"", ""Iron"", ""Hair dryer""]",$19.00,25
7,399681,1000,1941316,Kevin & Lesley,100%,71%,"['email', 'phone']",Westbury-on-Trym & Henleaze,51.49508,-2.61715,Private room,,1.5 baths,"[""Dishes and silverware"", ""Carbon monoxide alarm"", ""Essentials"", ""Dishwasher"", ""Smoke alarm"", ""Cooking basics"", ""Free washer \u2013 In building"", ""Microwave"", ""Outdoor furniture"", ""Outdoor dining area"", ""Free parking on premises"", ""Hangers"", ""Oven"", ""Refrigerator"", ""Private fenced garden or backyard"", ""Shampoo"", ""Coffee maker"", ""BBQ grill"", ""Private patio or balcony"", ""Heating"", ""Wifi"", ""Hot water"", ""Free dryer \u2013 In building"", ""Long term stays allowed"", ""TV"", ""Kitchen"", ""Stove"", ""Iron"", ""Hair dryer"", ""Breakfast"", ""Indoor fireplace"", ""Host greets you""]",$80.00,91
8,407485,1000,2029719,Ingrid,100%,48%,"['email', 'phone']",Ashley,51.46941,-2.58166,Entire home/apt,,1.5 baths,"[""Extra pillows and blankets"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Essentials"", ""Dishwasher"", ""Free dryer \u2013 In unit"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Cooking basics"", ""Free street parking"", ""Room-darkening shades"", ""Microwave"", ""Crib"", ""First aid kit"", ""Hangers"", ""Bed linens"", ""Refrigerator"", ""Oven"", ""Lockbox"", ""Shampoo"", ""Coffee maker"", ""BBQ grill"", ""Private patio or balcony"", ""High chair"", ""Heating"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Fire extinguisher"", ""Private entrance"", ""Backyard"", ""TV"", ""Kitchen"", ""Stove"", ""Iron"", ""Hair dryer""]",$93.00,306
9,421205,1000,2094659,Lis,100%,54%,"['email', 'phone']",Ashley,51.46547,-2.58458,Private room,,1 private bath,"[""Extra pillows and blankets"", ""Body soap"", ""Carbon monoxide alarm"", ""Essentials"", ""Smoke alarm"", ""Room-darkening shades"", ""Bathtub"", ""Free parking on premises"", ""First aid kit"", ""Hangers"", ""Bed linens"", ""Refrigerator"", ""Oven"", ""Paid parking off premises"", ""Shampoo"", ""Coffee maker"", ""Heating"", ""Wifi"", ""Hot water"", ""Fire extinguisher"", ""Backyard"", ""Iron"", ""Hair dryer"", ""Host greets you""]",$35.00,185
