,id,len_description,host_id,host_name,host_response_rate,host_acceptance_rate,host_verifications,neighbourhood_cleansed,latitude,longitude,room_type,bathrooms,bathrooms_text,amenities,price,number_of_reviews
2290,37324269,453,90741848,David,100%,100%,"['email', 'phone']",Bruxelles,50.84427,4.38781,Entire home/apt,,1 bath,"[""Stove"", ""Coffee maker"", ""Host greets you"", ""Long term stays allowed"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Essentials"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Dedicated workspace"", ""Cooking basics"", ""Luggage dropoff allowed"", ""TV"", ""Hot water kettle"", ""Microwave"", ""Hot water"", ""Laundromat nearby"", ""Free street parking"", ""Kitchen"", ""Bed linens"", ""Hair dryer"", ""Ethernet connection"", ""Wine glasses"", ""Private entrance"", ""Heating"", ""Refrigerator"", ""Oven"", ""Shower gel""]",$90.00,51
1225,21052562,499,42832143,Antoine,99%,99%,"['email', 'phone']",Bruxelles,50.84515,4.35519,Entire home/apt,,1 bath,"[""Hair dryer"", ""Carbon monoxide alarm"", ""Wifi"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed"", ""Heating"", ""Hangers"", ""First aid kit"", ""Shampoo"", ""Iron""]",$79.00,253
1394,23317302,479,14707531,Corentin,100%,100%,"['email', 'phone']",Forest,50.82768,4.33316,Entire home/apt,,1 bath,"[""Stove"", ""Coffee maker"", ""Long term stays allowed"", ""Washer"", ""Cleaning products"", ""Hangers"", ""Cable TV"", ""Oven"", ""Toaster"", ""Smoke alarm"", ""Iron"", ""TV with standard cable"", ""Wifi"", ""Essentials"", ""Patio or balcony"", ""Clothing storage: closet"", ""Room-darkening shades"", ""Cooking basics"", ""Microwave"", ""Hot water"", ""Freezer"", ""Kitchen"", ""Bed linens"", ""Hair dryer"", ""Wine glasses"", ""Portable fans"", ""Heating"", ""Dishwasher"", ""Shampoo"", ""Refrigerator"", ""Dishes and silverware""]",$70.00,13
491,6879591,253,24444714,Cedric,94%,31%,"['email', 'phone']",Ixelles,50.83437,4.37549,Entire home/apt,,1 bath,"[""Stove"", ""TV"", ""Microwave"", ""Carbon monoxide alarm"", ""Wifi"", ""Paid parking off premises"", ""Fire extinguisher"", ""Hot water"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Refrigerator"", ""Paid parking on premises"", ""Dishes and silverware"", ""Kitchen"", ""Cooking basics""]",$74.00,12
3831,51213719,67,414554712,Jozefina,86%,90%,['phone'],Anderlecht,50.83337,4.30547,Entire home/apt,,1 bath,"[""Stove"", ""Coffee maker"", ""Dining table"", ""Long term stays allowed"", ""Washer"", ""Cleaning products"", ""Hangers"", ""Central heating"", ""Oven"", ""Cleaning before checkout"", ""Pool table"", ""Piano"", ""Security cameras on property"", ""Smoke alarm"", ""Wifi"", ""Essentials"", ""Free dryer \u2013 In unit"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Cooking basics"", ""Luggage dropoff allowed"", ""TV"", ""Microwave"", ""Hot water"", ""Drying rack for clothing"", ""Freezer"", ""Body soap"", ""Kitchen"", ""Board games"", ""Bed linens"", ""Hair dryer"", ""Wine glasses"", ""Carbon monoxide alarm"", ""Clothing storage: walk-in closet, wardrobe, closet, and dresser"", ""Portable fans"", ""Dishwasher"", ""Shampoo"", ""Refrigerator"", ""Dishes and silverware"", ""Shower gel""]",$121.00,16
2516,39547559,1000,19427428,Sweet Inn,100%,99%,"['email', 'phone']",Bruxelles,50.84859,4.34676,Entire home/apt,,1 bath,"[""Stove"", ""Coffee maker"", ""Long term stays allowed"", ""Washer"", ""Hangers"", ""Cable TV"", ""Iron"", ""TV with standard cable"", ""Wifi"", ""Paid parking off premises"", ""Essentials"", ""Dishes and silverware"", ""Dedicated workspace"", ""Microwave"", ""Hot water"", ""Smart lock"", ""Kitchen"", ""Bed linens"", ""Hair dryer"", ""Private entrance"", ""Heating"", ""Dishwasher"", ""Shampoo"", ""Refrigerator"", ""Oven""]",$171.00,32
1703,28631240,1000,11421346,Yvette,100%,99%,"['email', 'phone']",Forest,50.81501,4.34441,Entire home/apt,,1 bath,"[""Stove"", ""Coffee maker"", ""Host greets you"", ""Long term stays allowed"", ""Hangers"", ""Oven"", ""Conditioner"", ""Toaster"", ""Iron"", ""Wifi"", ""Paid parking off premises"", ""Essentials"", ""Clothing storage"", ""Dedicated workspace"", ""Cooking basics"", ""Luggage dropoff allowed"", ""TV"", ""Hot water kettle"", ""Microwave"", ""Hot water"", ""First aid kit"", ""Body soap"", ""Kitchen"", ""Bed linens"", ""Hair dryer"", ""Wine glasses"", ""Baking sheet"", ""Private entrance"", ""Heating"", ""Dishwasher"", ""Shampoo"", ""Refrigerator"", ""Dishes and silverware"", ""Shower gel""]",$58.00,170
5252,654834278364469034,480,465514168,Walter,100%,100%,['phone'],Bruxelles,50.845344,4.344492,Entire home/apt,,1 bath,"[""Coffee maker"", ""Single level home"", ""Electric stove"", ""Dining table"", ""Long term stays allowed"", ""Cleaning products"", ""Hangers"", ""Central heating"", ""Toaster"", ""Smoke alarm"", ""Iron"", ""Crib - available upon request"", ""Wifi"", ""Paid parking off premises"", ""Safe"", ""Essentials"", ""Clothing storage: closet"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Cooking basics"", ""Mini fridge"", ""Waterfront"", ""Hot water kettle"", ""Microwave"", ""Hot water"", ""Folding or convertible high chair - available upon request"", ""Laundromat nearby"", ""First aid kit"", ""Kitchen"", ""Bed linens"", ""Hair dryer"", ""Wine glasses"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Private entrance"", ""Lockbox"", ""Refrigerator"", ""Dishes and silverware""]",$53.00,17
1639,27594504,1000,31208485,Gregory,100%,100%,"['email', 'phone']",Ixelles,50.82032,4.36144,Entire home/apt,,1 bath,"[""Stove"", ""Long term stays allowed"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Essentials"", ""Paid street parking off premises"", ""Clothing storage"", ""Cooking basics"", ""TV"", ""Microwave"", ""Hot water"", ""Free street parking"", ""Kitchen"", ""Bed linens"", ""Hair dryer"", ""Heating"", ""Dishwasher"", ""Lockbox"", ""Refrigerator"", ""Dishes and silverware""]",$64.00,126
5179,649143962012672227,304,464224256,Violeta,100%,0%,"['email', 'phone']",Etterbeek,50.831128984770274,4.38094811074853,Entire home/apt,,1 bath,"[""TV"", ""Outdoor dining area"", ""Wifi"", ""Long term stays allowed"", ""Washer"", ""Kitchen"", ""Smoke alarm"", ""Dedicated workspace""]",$90.00,0
