,id,len_description,host_id,host_name,host_response_rate,host_acceptance_rate,host_verifications,neighbourhood_cleansed,latitude,longitude,room_type,bathrooms,bathrooms_text,amenities,price,number_of_reviews
0,77327,3,414263,Edward En Daphne,65%,94%,"['email', 'phone']",Binnenstad,51.0376,3.73065,Entire home/apt,,1 bath,"[""Luggage dropoff allowed"", ""Smoke alarm"", ""Refrigerator"", ""Oven"", ""Crib"", ""Hangers"", ""Washer"", ""Pack \u2019n play/Travel crib"", ""Bed linens"", ""Pocket wifi"", ""Extra pillows and blankets"", ""Hot water"", ""Patio or balcony"", ""Wifi"", ""Kitchen"", ""Cooking basics"", ""Long term stays allowed"", ""Essentials"", ""Heating"", ""Microwave"", ""Stove"", ""High chair"", ""Private entrance"", ""Lockbox"", ""Fire extinguisher"", ""Coffee maker"", ""Dishes and silverware""]",$90.00,12
1,187870,1000,904277,Tamara,100%,100%,"['email', 'phone']",Watersportbaan - Ekkergem,51.05168,3.70283,Private room,,1.5 baths,"[""Luggage dropoff allowed"", ""Cleaning products"", ""Record player"", ""Hot water kettle"", ""Meraki shampoo"", ""Smoke alarm"", ""Refrigerator"", ""Dining table"", ""Outdoor dining area"", ""Hangers"", ""Washer"", ""Dedicated workspace"", ""Bed linens"", ""Carbon monoxide alarm"", ""Nespresso machine"", ""Board games"", ""Cable TV"", ""Extra pillows and blankets"", ""Laundromat nearby"", ""Iron"", ""Hot water"", ""Paid parking garage off premises"", ""Meraki body soap"", ""Wifi"", ""Mosquito net"", ""Sound system with aux"", ""Free dryer \u2013 In building"", ""Cooking basics"", ""HDTV with Chromecast, standard cable"", ""First aid kit"", ""Hair dryer"", ""Freezer"", ""Long term stays allowed"", ""Keypad"", ""Essentials"", ""Microwave"", ""Shower gel"", ""Central heating"", ""Room-darkening shades"", ""Private entrance"", ""Wine glasses"", ""Outdoor furniture"", ""Private patio or balcony"", ""Drying rack for clothing"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Coffee maker"", ""Dishes and silverware"", ""Portable fans"", ""Mini fridge""]",$80.00,426
2,252269,1000,1195314,Anne-Sophie,100%,88%,"['email', 'phone', 'work_email']",Elisabethbegijnhof - Papegaai,51.05216,3.71993,Entire home/apt,,2.5 baths,"[""Luggage dropoff allowed"", ""Cleaning products"", ""Shampoo"", ""Marshall Bluetooth sound system"", ""Hot water kettle"", ""Smoke alarm"", ""Refrigerator"", ""Dining table"", ""Oven"", ""Clothing storage"", ""Crib"", ""Hangers"", ""Dedicated workspace"", ""Bed linens"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Board games"", ""Extra pillows and blankets"", ""Babysitter recommendations"", ""Iron"", ""Hot water"", ""Wifi"", ""Private fenced garden or backyard"", ""Free washer \u2013 In unit"", ""Host greets you"", ""Kitchen"", ""Cooking basics"", ""First aid kit"", ""Hair dryer"", ""Freezer"", ""Long term stays allowed"", ""Dryer"", ""Essentials"", ""Heating"", ""Microwave"", ""Stove"", ""HDTV with Chromecast"", ""Shower gel"", ""Toaster"", ""Private patio or balcony"", ""High chair"", ""Wine glasses"", ""Children\u2019s dinnerware"", ""Private entrance"", ""Outdoor furniture"", ""Drying rack for clothing"", ""Children\u2019s books and toys"", ""Body soap"", ""Fire extinguisher"", ""Coffee maker"", ""Dishes and silverware"", ""Baking sheet"", ""Outdoor dining area"", ""Lockbox""]",$246.00,212
3,476371,1000,996824,Annabell,100%,80%,"['email', 'phone']",Macharius - Heirnis,51.04857,3.74224,Private room,,1.5 shared baths,"[""Smoke alarm"", ""Crib"", ""Paid standalone high chair - available upon request"", ""Hangers"", ""Dedicated workspace"", ""Bed linens"", ""Board games"", ""Laundromat nearby"", ""Paid dryer \u2013 In unit"", ""Babysitter recommendations"", ""Hot water"", ""Wifi"", ""Host greets you"", ""Long term stays allowed"", ""Paid parking off premises"", ""Essentials"", ""Heating"", ""Room-darkening shades"", ""Drying rack for clothing"", ""Fire extinguisher"", ""Baby bath"", ""Lock on bedroom door"", ""Clothing storage: dresser""]",$60.00,46
4,599325,1000,2964980,Sas,,89%,"['email', 'phone']",Ledeberg,51.03454,3.74631,Private room,,1 shared bath,"[""Hot water"", ""Host greets you"", ""Kitchen"", ""Long term stays allowed"", ""Wifi"", ""Paid parking off premises"", ""Fire extinguisher"", ""Hangers"", ""Essentials""]",$41.00,127
5,696209,1000,1328011,Jan,100%,69%,"['email', 'phone', 'work_email']",Elisabethbegijnhof - Papegaai,51.05021,3.71624,Entire home/apt,,1 bath,"[""Luggage dropoff allowed"", ""Cleaning products"", ""Hot water kettle"", ""Smoke alarm"", ""Refrigerator"", ""Dining table"", ""Oven"", ""Hangers"", ""Bed linens"", ""Iron"", ""Hot water"", ""Wifi"", ""Host greets you"", ""Kitchen"", ""Cooking basics"", ""Hair dryer"", ""Long term stays allowed"", ""Clothing storage: wardrobe, dresser, and closet"", ""Essentials"", ""Heating"", ""Microwave"", ""Stove"", ""Ethernet connection"", ""Paid street parking off premises"", ""Room-darkening shades"", ""Private entrance"", ""Wine glasses"", ""Fire extinguisher"", ""Coffee maker"", ""Dishes and silverware""]",$95.00,35
6,743981,1000,1328011,Jan,100%,69%,"['email', 'phone', 'work_email']",Elisabethbegijnhof - Papegaai,51.05021,3.71624,Entire home/apt,,1 bath,"[""Luggage dropoff allowed"", ""Cleaning products"", ""Hot water kettle"", ""Smoke alarm"", ""Refrigerator"", ""Dining table"", ""Oven"", ""Hangers"", ""Dedicated workspace"", ""Bed linens"", ""Iron"", ""Hot water"", ""Wifi"", ""Host greets you"", ""Kitchen"", ""Cooking basics"", ""Hair dryer"", ""Long term stays allowed"", ""Stove"", ""Microwave"", ""Ethernet connection"", ""Paid street parking off premises"", ""Central heating"", ""Room-darkening shades"", ""Private entrance"", ""Wine glasses"", ""Fire extinguisher"", ""Coffee maker"", ""Dishes and silverware""]",$95.00,20
7,782514,602,3644609,Bob,100%,63%,"['email', 'phone']",Sint Amandsberg,51.06837,3.77456,Entire home/apt,,1 bath,"[""Luggage dropoff allowed"", ""Hot water kettle"", ""Refrigerator"", ""Oven"", ""Hangers"", ""Dedicated workspace"", ""Bed linens"", ""Cable TV"", ""Extra pillows and blankets"", ""Free parking on premises"", ""Iron"", ""Hot water"", ""TV with standard cable"", ""Wifi"", ""Host greets you"", ""Kitchen"", ""Cooking basics"", ""Hair dryer"", ""Long term stays allowed"", ""Single level home"", ""Essentials"", ""Heating"", ""Microwave"", ""Stove"", ""Backyard"", ""Fire extinguisher"", ""Coffee maker"", ""Dishes and silverware""]",$120.00,53
8,835795,653,4369972,Koestraat 46,93%,100%,"['email', 'phone']",Binnenstad,51.05277,3.72902,Entire home/apt,,1.5 baths,"[""Shampoo"", ""Smoke alarm"", ""Refrigerator"", ""Oven"", ""Hangers"", ""Washer"", ""Dishwasher"", ""Cable TV"", ""Iron"", ""Hot water"", ""TV with standard cable"", ""Wifi"", ""Kitchen"", ""Cooking basics"", ""Hair dryer"", ""Long term stays allowed"", ""Keypad"", ""Paid parking off premises"", ""Essentials"", ""Heating"", ""Microwave"", ""Stove"", ""Fire extinguisher"", ""Coffee maker"", ""Dishes and silverware""]",$106.00,413
9,887716,1000,1328011,Jan,100%,69%,"['email', 'phone', 'work_email']",Elisabethbegijnhof - Papegaai,51.05021,3.71624,Entire home/apt,,1 bath,"[""Luggage dropoff allowed"", ""Smoke alarm"", ""Refrigerator"", ""Oven"", ""Hangers"", ""Bed linens"", ""Iron"", ""Hot water"", ""Wifi"", ""Host greets you"", ""Kitchen"", ""Cooking basics"", ""Hair dryer"", ""Long term stays allowed"", ""Paid parking off premises"", ""Stove"", ""Essentials"", ""Microwave"", ""Heating"", ""Ethernet connection"", ""Room-darkening shades"", ""Private entrance"", ""Fire extinguisher"", ""Coffee maker"", ""Dishes and silverware""]",$95.00,8
