,id,len_description,host_id,host_name,host_response_rate,host_acceptance_rate,host_verifications,neighbourhood_cleansed,latitude,longitude,room_type,bathrooms,bathrooms_text,amenities,price,number_of_reviews
0,73155,1000,381163,Kim,100%,86%,"['email', 'phone']",Stadsdriehoek,51.91791,4.48266,Entire home/apt,,1.5 baths,"[""Shampoo"", ""Hot water"", ""Refrigerator"", ""Private entrance"", ""Bed linens"", ""Microwave"", ""Private patio or balcony"", ""Drying rack for clothing"", ""Freezer"", ""Baking sheet"", ""Oven"", ""Portable fans"", ""Host greets you"", ""Cooking basics"", ""Essentials"", ""Shower gel"", ""Extra pillows and blankets"", ""Cable TV"", ""Wifi"", ""Iron"", ""AH body soap"", ""Long term stays allowed"", ""AH conditioner"", ""Wine glasses"", ""Hangers"", ""Single level home"", ""Hair dryer"", ""Mosquito net"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Toaster"", ""Ethernet connection"", ""Hot water kettle"", ""Cleaning products"", ""Laundromat nearby"", ""Coffee maker"", ""Stove"", ""TV with standard cable"", ""Dedicated workspace"", ""Room-darkening shades"", ""Clothing storage: wardrobe and closet"", ""Heating"", ""Paid parking off premises"", ""Kitchen"", ""Washer"", ""Dining table""]",$130.00,108
1,77592,1000,416305,Jos,100%,77%,"['email', 'phone']",Middelland,51.91444,4.46297,Entire home/apt,,1 bath,"[""Shampoo"", ""Fast wifi \u2013 764 Mbps"", ""Refrigerator"", ""Smoke alarm"", ""Dishes and silverware"", ""Indoor fireplace"", ""Hangers"", ""Essentials"", ""Fire extinguisher"", ""TV with standard cable"", ""Dedicated workspace"", ""Hair dryer"", ""Heating"", ""Paid parking lot on premises \u2013 16 spaces"", ""Long term stays allowed"", ""Cable TV"", ""Carbon monoxide alarm"", ""Iron"", ""Kitchen"", ""Washer""]",$125.00,15
2,101526,1000,531869,Loes,,,"['email', 'phone', 'work_email']",Dijkzigt,51.91256,4.46603,Entire home/apt,,1 bath,"[""Shampoo"", ""Smoke alarm"", ""Building staff"", ""Hangers"", ""Essentials"", ""First aid kit"", ""Fire extinguisher"", ""Hair dryer"", ""Heating"", ""Wifi"", ""Carbon monoxide alarm"", ""Iron"", ""TV"", ""Kitchen"", ""Long term stays allowed""]",$89.00,12
3,283124,1000,132430732,Stefan,,,"['email', 'phone']",Overschie,51.94346,4.42488,Entire home/apt,,1.5 baths,"[""Shampoo"", ""Hot water"", ""Refrigerator"", ""Microwave"", ""Carbon monoxide alarm"", ""Oven"", ""Host greets you"", ""Cooking basics"", ""Patio or balcony"", ""Essentials"", ""Elevator"", ""Wifi"", ""Cable TV"", ""Iron"", ""Long term stays allowed"", ""Smoke alarm"", ""Free street parking"", ""Hangers"", ""First aid kit"", ""Hair dryer"", ""Dishes and silverware"", ""Air conditioning"", ""EV charger"", ""Coffee maker"", ""Fire extinguisher"", ""TV with standard cable"", ""Stove"", ""Heating"", ""Kitchen"", ""Washer"", ""Free parking on premises""]",$129.00,182
4,539905,1000,2652971,Michael,100%,88%,"['email', 'phone']",Kralingen Oost,51.92102,4.51345,Entire home/apt,,1 bath,"[""Shampoo"", ""Lake access"", ""Smoke alarm"", ""Dishes and silverware"", ""Free street parking"", ""Hangers"", ""Essentials"", ""Wifi"", ""Coffee maker"", ""First aid kit"", ""TV with standard cable"", ""Fire extinguisher"", ""Hair dryer"", ""Heating"", ""Long term stays allowed"", ""Cable TV"", ""Carbon monoxide alarm"", ""Iron"", ""Kitchen"", ""Washer""]",$145.00,24
5,637789,862,3173181,Cornelis,100%,9%,"['email', 'phone']",De Esch,51.91571,4.51671,Private room,,2.5 baths,"[""Shampoo"", ""Hot water"", ""Smoke alarm"", ""Dryer"", ""Hangers"", ""Essentials"", ""Wifi"", ""Elevator"", ""Breakfast"", ""First aid kit"", ""TV with standard cable"", ""Fire extinguisher"", ""Heating"", ""Long term stays allowed"", ""Cable TV"", ""Carbon monoxide alarm"", ""Iron"", ""Kitchen"", ""Washer"", ""Free parking on premises""]",$103.00,10
6,662841,1000,3347702,Alberti Bed & Bike,89%,20%,"['email', 'phone']",Nieuwe Westen,51.91923,4.45205,Private room,,1 bath,"[""Shampoo"", ""Hot water"", ""Refrigerator"", ""Bed linens"", ""Microwave"", ""Carbon monoxide alarm"", ""Oven"", ""Host greets you"", ""Body soap"", ""Essentials"", ""Nespresso machine"", ""Shower gel"", ""Extra pillows and blankets"", ""Wifi"", ""Cable TV"", ""Iron"", ""Long term stays allowed"", ""Wine glasses"", ""Smoke alarm"", ""Hangers"", ""Hair dryer"", ""Dishes and silverware"", ""Toaster"", ""Hot water kettle"", ""Clothing storage: closet"", ""Paid street parking off premises"", ""Lock on bedroom door"", ""Coffee maker"", ""Fire extinguisher"", ""TV with standard cable"", ""Dedicated workspace"", ""Heating"", ""Dining table""]",$106.00,14
7,724597,1000,3745883,Paul,100%,94%,['phone'],Kralingen West,51.93111,4.50482,Entire home/apt,,1.5 baths,"[""Hot water"", ""Bed linens"", ""Dryer"", ""Hangers"", ""Essentials"", ""Long term stays allowed"", ""Hair dryer"", ""Heating"", ""Wifi"", ""Dishes and silverware"", ""Iron"", ""Kitchen"", ""Washer""]",$75.00,60
8,763422,1000,4024319,Machteld,100%,98%,"['email', 'phone']",Blijdorp,51.93021,4.46853,Entire home/apt,,1 bath,"[""Hot water"", ""Refrigerator"", ""Bed linens"", ""Oven"", ""Bodyshop body soap"", ""Host greets you"", ""Cooking basics"", ""Patio or balcony"", ""High chair"", ""Backyard"", ""Essentials"", ""Shower gel"", ""Extra pillows and blankets"", ""Wifi"", ""Cable TV"", ""Bodyshop shampoo"", ""Long term stays allowed"", ""Wine glasses"", ""Smoke alarm"", ""Crib"", ""Hangers"", ""First aid kit"", ""Children\u2019s books and toys"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Cleaning products"", ""Electric stove"", ""Coffee maker"", ""Fire extinguisher"", ""TV with standard cable"", ""Breakfast"", ""Heating"", ""Pour-over coffee"", ""Paid parking off premises"", ""Kitchen"", ""Children\u2019s dinnerware"", ""Dining table""]",$95.00,311
9,768700,1000,3745883,Paul,100%,94%,['phone'],Kralingen West,51.93111,4.50482,Entire home/apt,,1 bath,"[""Hot water"", ""Lake access"", ""Bed linens"", ""Dryer"", ""Hangers"", ""Essentials"", ""Fire extinguisher"", ""Long term stays allowed"", ""Hair dryer"", ""Heating"", ""Wifi"", ""Iron"", ""Kitchen"", ""Washer""]",$90.00,83
