,id,len_description,host_id,host_name,host_response_rate,host_acceptance_rate,host_verifications,neighbourhood_cleansed,latitude,longitude,room_type,bathrooms,bathrooms_text,amenities,price,number_of_reviews
0,103875,1000,541315,Arthur,100%,100%,"['email', 'phone', 'work_email']",Zuidwal,52.07453,4.31669,Entire home/apt,,1.5 baths,"[""Hot water"", ""Dedicated workspace"", ""Dishes and silverware"", ""Kitchen"", ""Building staff"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Microwave"", ""Wifi"", ""Paid parking on premises"", ""Essentials"", ""Cable TV"", ""Oven"", ""Heating"", ""Smoke alarm"", ""Refrigerator"", ""Iron"", ""Dryer"", ""Stove"", ""Washer"", ""Private entrance"", ""Private garden or backyard"", ""Coffee maker"", ""Hair dryer"", ""Patio or balcony"", ""First aid kit"", ""Fire extinguisher"", ""Shampoo"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Long term stays allowed"", ""Hangers""]",$125.00,20
1,113693,1000,577957,Lara,100%,99%,"['email', 'phone']",Vliegeniersbuurt,52.00866,4.3541,Entire home/apt,,2.5 baths,"[""Hot water"", ""Dedicated workspace"", ""Paid parking garage off premises"", ""Drying rack for clothing"", ""Air conditioning"", ""Kitchen"", ""Dishes and silverware"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Microwave"", ""Wifi"", ""Bathtub"", ""Essentials"", ""Cleaning before checkout"", ""Oven"", ""Long term stays allowed"", ""Smoke alarm"", ""Refrigerator"", ""Iron"", ""Free street parking"", ""Stove"", ""Private hot tub"", ""Cleaning products"", ""Wine glasses"", ""TV"", ""Coffee maker"", ""Hair dryer"", ""Freezer"", ""Patio or balcony"", ""Bed linens"", ""First aid kit"", ""Shampoo"", ""Hot water kettle"", ""Host greets you"", ""Shower gel"", ""Outlet covers"", ""Body soap"", ""Baking sheet"", ""Outdoor furniture"", ""Backyard"", ""Free washer \u2013 In building"", ""Toaster"", ""Carbon monoxide alarm"", ""Portable fans"", ""Private indoor pool"", ""Hangers"", ""Conditioner"", ""Dining table"", ""Central heating""]",$51.00,359
2,154506,1000,743189,"Lia, Ron",100%,97%,"['email', 'phone']",Vliegeniersbuurt,52.04468,4.34476,Entire home/apt,,1.5 baths,"[""Fire pit"", ""BBQ grill"", ""Dishes and silverware"", ""Kitchen"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Microwave"", ""Wifi"", ""Essentials"", ""Smoke alarm"", ""Bikes"", ""Refrigerator"", ""Security cameras on property"", ""Free street parking"", ""Free parking on premises"", ""Pool"", ""Cleaning products"", ""Private entrance"", ""Coffee maker"", ""Bed linens"", ""Shampoo"", ""Barbecue utensils"", ""Backyard"", ""Single level home"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Hangers""]",$65.00,236
3,378711,1000,1902132,Karen,100%,64%,"['email', 'phone']",Duttendel,52.10822,4.30535,Private room,,1 private bath,"[""Hot water"", ""Dedicated workspace"", ""Dishes and silverware"", ""Kitchen"", ""Cooking basics"", ""Extra pillows and blankets"", ""Microwave"", ""Wifi"", ""Outdoor dining area"", ""Essentials"", ""Private patio or balcony"", ""Heating"", ""Refrigerator"", ""Iron"", ""Free street parking"", ""Dryer"", ""Free parking on premises"", ""Stove"", ""Lockbox"", ""Washer"", ""Private entrance"", ""Coffee maker"", ""Beachfront"", ""Bed linens"", ""First aid kit"", ""Shampoo"", ""Shower gel"", ""Baking sheet"", ""Outdoor furniture"", ""Long term stays allowed"", ""Hangers""]",$110.00,22
4,450807,1000,2238496,Saskia,,0%,"['email', 'phone']",Bezuidenhout-Midden,52.08399,4.33062,Entire home/apt,,1.5 baths,"[""Hot water"", ""Dishes and silverware"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Wifi"", ""Essentials"", ""Oven"", ""Heating"", ""Smoke alarm"", ""Refrigerator"", ""Iron"", ""Dryer"", ""Stove"", ""Hot tub"", ""Washer"", ""TV"", ""Coffee maker"", ""Hair dryer"", ""Beachfront"", ""Patio or balcony"", ""First aid kit"", ""Fire extinguisher"", ""Shampoo"", ""Host greets you"", ""Backyard"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Hangers""]",$93.00,126
5,492615,1000,1003354,Paul,100%,90%,"['email', 'phone']",Schildersbuurt-West,52.07198,4.29595,Private room,,1.5 shared baths,"[""Hot water"", ""Dishes and silverware"", ""Kitchen"", ""Shared hot tub"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Clothing storage: closet"", ""Microwave"", ""Wifi"", ""Bathtub"", ""Essentials"", ""Private patio or balcony"", ""Oven"", ""Heating"", ""Paid street parking off premises"", ""Refrigerator"", ""Iron"", ""Stove"", ""Coffee maker"", ""Hair dryer"", ""Bed linens"", ""Shampoo"", ""Hot water kettle"", ""Host greets you"", ""Shower gel"", ""Baking sheet"", ""Body soap"", ""Toaster"", ""EV charger"", ""Portable fans"", ""Hangers"", ""Conditioner"", ""Dining table""]",$37.00,319
6,523633,1000,300966,Elwin,100%,97%,"['email', 'phone', 'work_email']",Huygenspark,52.07223,4.32396,Entire home/apt,,1 bath,"[""Hot water"", ""Dedicated workspace"", ""Air conditioning"", ""Kitchen"", ""Dishes and silverware"", ""Crib"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Wifi"", ""Bathtub"", ""Essentials"", ""Cable TV"", ""Microwave"", ""Oven"", ""Heating"", ""Smoke alarm"", ""Refrigerator"", ""Iron"", ""Security cameras on property"", ""Paid parking off premises"", ""Dryer"", ""Stove"", ""Gym"", ""Washer"", ""Coffee maker"", ""Hair dryer"", ""Bed linens"", ""Elevator"", ""Shampoo"", ""TV with standard cable"", ""Single level home"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Long term stays allowed"", ""Hangers""]",$232.00,388
7,628445,1000,300966,Elwin,100%,97%,"['email', 'phone', 'work_email']",Huygenspark,52.07027,4.32552,Entire home/apt,,1 bath,"[""Hot water"", ""Dedicated workspace"", ""Air conditioning"", ""Kitchen"", ""Dishes and silverware"", ""Crib"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Wifi"", ""Microwave"", ""Essentials"", ""Cable TV"", ""Oven"", ""Heating"", ""Smoke alarm"", ""Refrigerator"", ""Iron"", ""Security cameras on property"", ""Paid parking off premises"", ""Dryer"", ""Stove"", ""Gym"", ""Washer"", ""Private entrance"", ""Coffee maker"", ""Hair dryer"", ""Elevator"", ""Shampoo"", ""TV with standard cable"", ""Single level home"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Long term stays allowed"", ""Hangers""]",$257.00,255
8,635931,1000,300966,Elwin,100%,97%,"['email', 'phone', 'work_email']",Huygenspark,52.07081,4.32496,Entire home/apt,,1 bath,"[""Hot water"", ""Dedicated workspace"", ""Air conditioning"", ""Kitchen"", ""Dishes and silverware"", ""Crib"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Wifi"", ""Microwave"", ""Essentials"", ""Cable TV"", ""Oven"", ""Heating"", ""Smoke alarm"", ""Refrigerator"", ""Iron"", ""Security cameras on property"", ""Paid parking off premises"", ""Dryer"", ""Stove"", ""Gym"", ""Washer"", ""Coffee maker"", ""Hair dryer"", ""Bed linens"", ""Elevator"", ""Shampoo"", ""TV with standard cable"", ""Single level home"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Long term stays allowed"", ""Hangers""]",$240.00,137
9,635974,1000,300966,Elwin,100%,97%,"['email', 'phone', 'work_email']",Huygenspark,52.07137,4.32465,Entire home/apt,,1 bath,"[""Hot water"", ""Dedicated workspace"", ""Air conditioning"", ""Kitchen"", ""Dishes and silverware"", ""Crib"", ""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Wifi"", ""Microwave"", ""Essentials"", ""Cable TV"", ""Oven"", ""Heating"", ""Smoke alarm"", ""Refrigerator"", ""Iron"", ""Security cameras on property"", ""Paid parking off premises"", ""Dryer"", ""Stove"", ""Gym"", ""Washer"", ""Coffee maker"", ""Hair dryer"", ""Bed linens"", ""Elevator"", ""Shampoo"", ""TV with standard cable"", ""Single level home"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Long term stays allowed"", ""Hangers""]",$227.00,215
